ID,Z
25612,-4.821
25613,-5.48
25614,-5.564
25615,-5.067
25616,-4.729
25617,-4.595
25618,-3.606
25619,-1.852
25620,-4.684
25625,-4.207
25626,-4.842
25627,-4.108
25628,-3.793
25629,-3.644
25630,-12.349
25631,-16.478
25632,-16.418
25633,-16.19
25634,-7.305
25635,-5.476
25636,-12.588
25637,-14.899
25638,-2.724
25639,-4.776
25640,-14.162
25641,-2.442
25642,-3.057
25643,-2.725
25896,-10.325
25897,-8.32
25898,-11.173
25899,-10.66
25900,-8.227
25901,-9.583
25902,-9.844
25903,-9.923
25904,-9.985
25905,-10.029
25906,-3.238
25907,-5.988
25908,-4.786
25909,-4.488
25910,-5.172
25911,-3.313
25912,-5.046
25913,-2.623
25914,-3.12
25915,-2.982
25917,-11.748
25918,-11.048
25919,-9.309
25920,-4.539
25921,-4.329
25922,-4.391
25923,-4.985
25924,-4.956
25925,-4.727
25926,-4.778
25927,-4.886
25928,-3.163
25929,-4.129
25930,-4.197
25931,-4.937
25932,-4.949
25938,-4.412
25939,-4.088
25940,-3.744
25941,-3.769
25942,-3.738
25943,-16.659
25945,-3.428
25946,-3.637
25947,-3.53
25948,-3.254
25949,-4.024
25950,-10.332
25951,-13.763
25952,-4.372
25953,-3.427
25954,-2.553
25955,-2.743
25956,-2.629
25957,-3.757
25958,-2.363
25959,-2.784
25960,-2.795
25961,-3.034
25962,-5.342
25963,-3.483
26203,-12.355
26204,-13.253
26205,-12.767
26220,-10.592
26221,-8.519
26222,-9.938
26223,-8.686
26224,-6.576
26225,-8.188
26226,-9.25
26227,-6.718
26228,-11.482
26229,-9.057
26230,-2.592
26231,-4.808
26232,-3.237
26233,-4.867
26234,-4.579
26235,-5.322
26236,-4.38
26237,-2.908
26238,-3.002
26239,-4.604
26240,-3.265
26241,-12.886
26242,-10.344
26243,-4.256
26244,-3.99
26245,-3.672
26246,-3.837
26247,-3.824
26248,-4.147
26249,-4.264
26250,-4.181
26251,-2.692
26252,-3.069
26253,-3.135
26254,-3.646
26261,-6.088
26262,-14.465
26265,-2.065
26266,-2.62
26267,-2.395
26268,-1.733
26269,-3.038
26270,-2.732
26271,-2.491
26272,-3.238
26273,-2.993
26274,-2.566
26275,-2.002
26276,-2.227
26277,-1.821
26278,-1.66
26279,-2.646
26280,-1.373
26281,-2.771
26282,-2.285
26283,-2.82
26284,-2.452
26285,-3.061
26286,-2.667
26287,-3.411
26288,-5.304
26510,-12.717
26511,-13.618
26512,-11.845
26513,-11.268
26514,-12.186
26515,-10.946
26533,-8.433
26534,-7.845
26535,-6.85
26536,-7.148
26537,-5.422
26538,-8.064
26539,-5.894
26540,-7.406
26541,-8.377
26542,-9.446
26543,-8.051
26544,-9.135
26545,-8.262
26546,-2.949
26547,-5.295
26548,-3.012
26549,-1.863
26550,-4.079
26551,-0.646
26552,-3.251
26553,-7.155
26554,-6.897
26555,-5.14
26556,-3.139
26557,-3.435
26558,-2.811
26559,-3.009
26560,-3.647
26561,-3.786
26562,-3.569
26563,-3.507
26564,-3.311
26565,-3.323
26566,-3.468
26567,-2.871
26568,-2.632
26569,-2.681
26570,-2.947
26571,-3.226
26579,-3.095
26580,-3.831
26581,-3.389
26582,-4.2
26585,-1.258
26586,-0.473
26587,-1.434
26588,-2.015
26589,-2.506
26590,-2.434
26591,-2.698
26592,-2.58
26593,-2.661
26594,-2.487
26595,-2.52
26596,-1.938
26597,-1.965
26598,-1.096
26599,-0.607
26600,-2.348
26601,-2.432
26602,-1.009
26603,-1.82
26604,-1.758
26605,-1.431
26606,-2.395
26607,-2.136
26608,-2.024
26609,-3.302
26610,-6.263
26611,-2.959
26612,-4.067
26837,-9.692
26838,-7.99
26839,-10.109
26840,-9.862
26856,-3.656
26857,-6.682
26858,-8.677
26859,-8.452
26860,-9.738
26861,-9.532
26862,-8.272
26863,-7.529
26864,-7.815
26865,-6.132
26866,-3.164
26867,-1.829
26868,-3.577
26869,-3.846
26870,-6.822
26871,-1.408
26872,-5.248
26873,-3.79
26874,-0.713
26875,-2.232
26876,-2.665
26877,-2.895
26878,-3.053
26879,-3.405
26880,-3.462
26881,-3.339
26882,-2.947
26883,-3.355
26884,-3.636
26885,-2.605
26886,-2.443
26887,-2.449
26888,-2.666
26889,-1.947
26891,-3.16
26892,-3.012
26893,-2.86
26894,-3.271
26895,-1.961
26896,-1.212
26897,-1.19
26898,-2.245
26899,-0.901
26900,-2.47
26901,-1.53
26902,-2.052
26903,0.332
26904,-1.79
26905,-0.998
26906,-1.52
26907,-1.676
26908,-1.211
26909,-0.815
26910,-0.558
26911,-2.048
26912,-1.608
26913,-1.732
26914,-1.618
26915,-1.634
26916,-1.31
26917,-0.652
27121,-9.061
27122,-8.965
27123,-8.958
27142,-7.544
27143,-0.67
27144,-9.623
27145,-1.29
27146,-9.275
27147,-7.779
27148,-5.409
27149,-1.816
27150,-5.241
27151,-4.383
27152,-2.207
27153,-2.297
27154,-1.921
27155,-1.584
27156,-0.754
27157,-3.162
27158,-3.209
27159,-2.95
27160,-2.718
27161,-2.264
27162,-2.139
27163,-2.129
27164,-1.605
27165,-2.463
27166,-1.828
27167,-2.176
27168,1.437
27169,-0.986
27170,-0.499
27171,-0.514
27172,-0.801
27173,-1.48
27174,-1.697
27175,-1.071
27176,-0.625
27177,-1.028
27178,-1.552
27179,-1.442
27180,7.502
27181,-1.205
27182,2.637
27369,-8.795
27370,-10.667
27387,-0.9
27388,-7.895
27389,-6.495
27390,-4.44
27391,-7.955
27392,-3.326
27393,-9.417
27394,-7.71
27395,-7.046
27396,-6.029
27397,-2.256
27398,-2.189
27399,-1.423
27400,-1.667
27401,-1.5
27402,-1.661
27403,-1.762
27404,-1.603
27405,-2.003
27406,2.157
27407,-1.037
27586,-7.603
27587,-7.643
27602,-3.558
27603,-3.765
27604,-4.402
27605,-5.665
27606,-8.663
27607,-3.924
27608,-3.479
27609,-9.673
27610,-3.298
27611,-3.221
27802,-0.79
27803,-2.999
27804,-2.241
27805,-8.079
27806,-5.954
27807,-5.529
27808,-5.433
27976,-7.006
27990,-1.579
27991,-4.086
27992,-5.101
27993,-3.58
28155,-1.509
28169,-2.338
28170,-1.825
28171,-1.889
28172,-2.115
28333,-2.84
28334,-1.475
28342,-2.887
28350,6.289
28351,-0.975
28352,-1.524
28507,-1.355
28515,-1.4
28516,-1.759
28517,-2.176
28525,-0.482
28526,-0.676
28527,-0.286
28528,-1.691
28678,-1.353
28679,-2.223
28688,-1.795
28689,-1.797
28690,-1.592
28696,-1.449
28697,-1.117
28698,-1.086
